group_id,arm,visitor_id,arrival_time,exit_time,time_on_page_sec,exit_rate,ctr_opportunities,ctr_newsletter,ctr_donation,ctr_events,kpi_x,kpi_y,scroll_depth_pct,ctr_partner_banner,page_load_time_ms,enrolled
TXB_23,treatment,355,2026-02-22 11:54:51.000000,2026-02-22 11:55:01.900000,10.9,0,0,1,0,0,13.14,0,86.4,0,2654.2,0
TXB_23,treatment,389,2026-02-22 22:03:14.000000,2026-02-22 22:07:29.400000,255.4,0,0,0,0,0,6.65,0,36.4,0,1451.9,0
TXB_23,treatment,781,2026-02-22 22:07:43.000000,2026-02-22 23:04:55.600000,3432.6,0,0,1,1,1,24.55,0,89.9,0,2517.1,0
TXB_23,pre,190,2026-02-22 22:22:10.000000,2026-02-22 22:22:52.000000,42.0,0,0,0,0,0,37.45,0,90.1,0,1192.1,0
TXB_23,pre,1,2026-02-22 23:31:43.201452,2026-02-22 23:33:13.784650,90.6,0,0,0,0,0,16.2,0,17.9,0,1966.6,0
TXB_23,treatment,1113,2026-02-22 23:33:17.000000,2026-02-22 23:33:42.900000,25.9,0,0,0,0,0,35.07,0,12.0,0,1556.4,0
TXB_23,pre,2,2026-02-23 00:29:00.126921,2026-02-23 00:29:30.137538,30.0,0,0,0,0,0,0.81,0,33.0,0,1033.4,0
TXB_23,pre,57,2026-02-23 00:36:05.000000,2026-02-23 00:58:24.200000,1339.2,0,0,0,0,0,38.27,0,91.3,0,1704.7,0
TXB_23,pre,3,2026-02-23 00:42:38.603246,2026-02-23 00:43:32.468747,53.9,0,0,0,0,0,9.86,0,69.9,0,10993.735999999994,0
TXB_23,pre,4,2026-02-23 00:43:09.494137,2026-02-23 00:49:38.542092,389.0,0,0,0,0,0,80.35,0,32.4,0,1296.5,0
TXB_23,pre,5,2026-02-23 00:45:13.195524,2026-02-23 00:48:07.005863,173.8,0,0,0,0,0,22.86,0,92.3,0,1022.2,0
TXB_23,pre,6,2026-02-23 00:46:04.678684,2026-02-23 00:47:17.506590,72.8,0,0,0,0,0,13.34,0,82.8,0,2116.4,0
TXB_23,pre,7,2026-02-23 01:04:28.870194,2026-02-23 01:04:31.044013,2.2,1,0,0,0,0,3.93,0,11.7,0,3143.8,0
TXB_23,pre,8,2026-02-23 01:06:08.032045,2026-02-23 01:06:08.532045,0.5,1,0,0,0,0,1.85,0,1.8,0,1795.8,0
TXB_23,pre,9,2026-02-23 01:24:24.516510,2026-02-23 01:32:19.854842,475.3,0,0,0,0,0,22.95,0,5.6,0,1319.7,0
TXB_23,pre,10,2026-02-23 01:25:39.017361,2026-02-23 01:25:54.277304,15.3,0,0,0,0,0,36.37,0,16.8,0,1154.2,0
TXB_23,pre,11,2026-02-23 01:32:49.815814,2026-02-23 01:33:35.493575,45.7,0,0,0,0,0,80.54,0,2.0,0,1754.4,0
TXB_23,pre,12,2026-02-23 01:38:24.739968,2026-02-23 03:34:02.646418,5421.8499999999885,0,0,0,0,1,78.92,0,18.7,0,1661.1,0
TXB_23,pre,13,2026-02-23 01:48:18.223972,2026-02-23 01:49:01.256103,43.0,0,0,0,0,0,10.48,0,82.3,0,4584.7,0
TXB_23,pre,14,2026-02-23 01:51:01.466230,2026-02-23 01:51:04.183363,2.7,1,0,0,0,0,0.7,0,4.8,0,1170.8,0
TXB_23,pre,15,2026-02-23 02:20:41.671856,2026-02-23 02:21:14.855596,33.2,0,0,0,0,0,19.05,0,99.5,0,1245.6,0
TXB_23,pre,16,2026-02-23 02:21:37.724227,2026-02-23 02:21:38.224227,0.5,1,0,0,0,0,0.7,0,1.8,0,1626.2,0
TXB_23,pre,17,2026-02-23 02:23:55.978944,2026-02-23 02:24:41.345128,45.4,0,0,0,0,0,5.33,0,69.6,0,9005.5,0
TXB_23,pre,18,2026-02-23 02:33:34.419661,2026-02-23 02:35:44.332497,129.9,0,0,0,0,0,77.37,1,35.0,0,1125.8,1
TXB_23,pre,19,2026-02-23 03:12:43.627277,2026-02-23 03:13:05.756273,22.1,0,0,0,0,0,35.73,1,87.4,0,1985.0,0
TXB_23,pre,20,2026-02-23 03:15:12.468881,2026-02-23 03:18:14.536403,182.1,0,0,0,0,0,10.58,0,84.5,0,1556.3,0
TXB_23,pre,21,2026-02-23 03:26:18.879773,2026-02-23 03:26:36.187633,17.3,0,0,0,0,0,26.05,0,48.7,0,1019.5,0
